Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
alpha0.25,24.617688511868007,6.245087198095562,24.666666666666316,-1.0,24.5951592681386,2.224810101553499
alpha0.2,24.464479364856082,6.013361965953087,25.333333333332973,-1.0,24.60377386440364,2.245454239010502
alpha0.2,25.12188494481967,5.040506170193254,25.99999999999963,-1.0,25.501166509163042,2.3993326816477247
alpha0.2,24.51812811929424,9.55428727164654,23.99999999999966,-1.0,30.360000008828944,12.151275046121427
alpha0.2,24.359575794445657,6.76426660290681,24.666666666666316,-1.0,24.458130273003114,2.4103636516958513
alpha0.2,24.087051631419364,5.924091927641689,24.666666666666316,-1.0,24.655692302190793,2.4795621683679956
alpha0.2,24.841324307395727,7.8950441761882555,25.333333333332973,-1.0,24.913333333332975,2.4615899958129552
alpha0.2,23.583113732795667,6.701254648072986,23.99999999999966,-1.0,23.940619090098817,2.4280606803247213
alpha0.2,23.548217478853832,7.384741444367673,23.99999999999966,-1.0,24.081439635527726,2.0784613728643633
teste1,10.159725285248497,3.8574484921441496,10.666666666666515,-1.0,10.559999999999851,1.3542277035085177
teste2,10.04242172420002,4.444153193878602,10.666666666666515,-1.0,8.753333333333208,1.5229854029743382
teste2,24.19744435987724,6.015977104859265,23.99999999999966,-1.0,24.207102986995523,2.613746679555209
