Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
Alpha=-1.0,23.57025615129319,6.328838815272534,23.99999999999966,-1.0,23.760000000026935,2.6028641117489357
Alpha=-1.0,21.923558002946482,5.302661333302842,21.999999999999687,-1.0,22.053896234807915,2.348124438565544
Alpha=-1.0,22.626514359284194,4.719170786199728,22.666666666666345,-1.0,22.7024626827794,2.4962850977271347
Alpha=-1.0,24.292074768399115,4.306388832040469,24.666666666666316,-1.0,24.419999999999657,2.4708651565100674
Alpha=-1.0,22.32243672502606,8.258710219967732,21.999999999999687,-1.0,11.446666666666502,3.525224644532235
Alpha=-1.0,23.35876556879299,6.021771074846201,21.999999999999687,-1.0,22.440000000017683,2.487955717521039
Alpha=-1.0,18.161874711149565,5.480737679606628,19.33333333333306,-1.0,18.689522351708355,1.9770144629710713
Alpha=-1.0,20.842603063950346,7.591917605322138,21.999999999999687,-1.0,22.21999999999968,2.1905887735384377
Alpha=-1.0,21.726153266061587,5.6145265384168495,21.999999999999687,-1.0,21.546666666666358,2.4234669279250416
Alpha=-1.0,21.56544164464682,5.439120505562363,21.33333333333303,-1.0,21.5190035109249,2.304404044068498
Alpha=-1.0,22.05457333459379,7.192371844942795,22.666666666666345,-1.0,22.439999999999685,2.1489130760852997
Alpha=-1.0,23.28902865180414,6.292455555265669,23.333333333333,-1.0,23.5641443574039,2.419327780614695
Alpha=-1.0,23.415387117974653,5.296940737388014,23.333333333333,-1.0,23.252577775960326,2.553514257587411
Alpha=-1.0,22.44435065246789,6.399436266111794,21.999999999999687,-1.0,22.04689908250253,2.2858911389971546
Alpha=-1.0,22.834176175396962,7.7153280133705255,22.666666666666345,-1.0,22.8933333333327,2.4686293610851675
Alpha=-1.0,20.379882962230518,6.614539844177067,21.33333333333303,-1.0,21.120000000007245,2.128109080217997
Alpha=-1.0,22.39464138067654,4.005416383287739,22.666666666666345,-1.0,22.47005248599697,2.283098002209913
Alpha=-1.0,22.48331428737156,4.643786185027066,22.666666666666345,-1.0,22.50155913370973,2.452218805759631
Alpha=-1.0,22.959783937509037,7.360953993917165,22.666666666666345,-1.0,22.893333333333,2.3334110405148776
Alpha=-1.0,19.325430238230396,4.046721356684008,19.33333333333306,-1.0,19.52666666666638,2.0999852792193594
