Simulação,P_PS,Incerteza_P_PS,P_ACF,Incerteza_P_ACF,P_CS,Incerteza_P_CS
Alpha=5.0,25.129495018400142,6.209588803035966,25.333333333332973,-1.0,25.079999999999647,1.9852305959826686
Alpha=5.0,25.32450074166975,8.07463010396808,54.66666666666589,-1.0,33.65999999999953,8.80018791157333
Alpha=5.0,62.003903073197215,36.21785914960876,67.99999999999903,-1.0,35.6399999999995,10.593008750480989
Alpha=5.0,72.10070475713631,39.86103650124687,75.33333333333226,-1.0,36.29999999999949,12.054576174624446
Alpha=5.0,61.79796174958391,30.477035059501258,54.66666666666589,-1.0,29.626666666666242,10.342568274631386
Alpha=5.0,28.990395992895177,12.526392958435258,31.999999999999545,-1.0,20.459999999999713,4.907621019771014
Alpha=5.0,42.19445044870834,19.153322571241077,46.666666666666,-1.0,23.56666666666633,8.12920063676789
Alpha=5.0,24.801770940293476,8.479665730813483,74.6666666666656,-1.0,34.31999999999952,13.531549994762209
Alpha=5.0,53.87829817719052,30.68216750147527,52.66666666666592,-1.0,34.31999999999952,8.054734980317711
Alpha=5.0,61.36109750311143,26.516265178872775,65.3333333333324,-1.0,64.82121149040184,7.588967275482792
Alpha=5.0,43.68060425967433,25.404095837364082,46.666666666666,-1.0,22.893333333333004,8.879408145165138
Alpha=5.0,64.90217750810793,35.13069749510687,76.66666666666558,-1.0,37.61999999999947,12.666143985017419
Alpha=5.0,57.134976668247766,25.85745570462109,61.99999999999912,-1.0,60.095610146096625,6.63156581022516
Alpha=5.0,25.553054165617464,8.228189311647718,56.66666666666586,-1.0,35.6399999999995,10.303420073487759
Alpha=5.0,23.5878986686282,9.494160929264037,66.66666666666572,-1.0,35.6399999999995,13.059466206555324
Alpha=5.0,52.09062691371137,28.408740810535022,55.999999999999204,-1.0,24.913333333332975,13.445172449144708
